src_ip,dst_ip,src_port,dst_port,protocol,duration_s,pkt_count,byte_count,pkt_per_sec,byte_per_sec,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,iat_mean,iat_std,iat_min,iat_max,syn_count,ack_count,rst_count,fin_count,psh_count,urg_count,syn_ratio,rst_ratio,ttl_mean,ttl_std,win_mean,only_syn,syn_no_ack,has_rst,label
172.30.0.100,172.30.0.12,8080,60568,6,0.00023,8,746,34771.4321,3242436.0456,93.25,66.1358,66,268,3.3e-05,3.1e-05,7e-06,9.5e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,46752,6,0.000242,8,746,33026.0157,3079675.9685,93.25,66.1358,66,268,3.5e-05,3.8e-05,6e-06,0.00012,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,47748,6,0.000288,8,746,27776.8477,2590191.0464,93.25,66.1358,66,268,4.1e-05,3.5e-05,9e-06,0.000105,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,59790,6,0.000264,8,744,30283.7834,2816391.8556,93.0,65.4752,66,266,3.8e-05,3.2e-05,7e-06,9.7e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,60576,6,0.000256,8,746,31271.6048,2916077.1519,93.25,66.1358,66,268,3.7e-05,3.5e-05,7e-06,0.000109,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,47764,6,0.000247,8,746,32388.4479,3020222.7645,93.25,66.1358,66,268,3.5e-05,3.1e-05,7e-06,9.8e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,59802,6,0.000272,8,746,29407.9159,2742288.1543,93.25,66.1358,66,268,3.9e-05,3.8e-05,7e-06,0.000121,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.13,8080,39190,6,0.000266,8,745,30066.6953,2799961.0036,93.125,65.8055,66,267,3.8e-05,3.6e-05,7e-06,0.000114,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.12,8080,42864,6,0.000251,8,746,31865.5575,2971463.2327,93.25,66.1358,66,268,3.6e-05,3.2e-05,7e-06,9.7e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,50166,6,0.000179,8,745,44679.6698,4160794.2477,93.125,65.8055,66,267,2.6e-05,2e-05,7e-06,6.7e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
