src_ip,dst_ip,src_port,dst_port,protocol,duration_s,pkt_count,byte_count,pkt_per_sec,byte_per_sec,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,iat_mean,iat_std,iat_min,iat_max,syn_count,ack_count,rst_count,fin_count,psh_count,urg_count,syn_ratio,rst_ratio,ttl_mean,ttl_std,win_mean,only_syn,syn_no_ack,has_rst,label
172.30.0.100,172.30.0.13,8080,57062,6,0.000162,8,746,49417.4256,4608174.9396,93.25,66.1358,66,268,2.3e-05,1.8e-05,7e-06,5.8e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.100,172.30.0.11,8080,47234,6,0.000182,8,746,43976.9751,4100852.9279,93.25,66.1358,66,268,2.6e-05,1.8e-05,7e-06,6.2e-05,2,7,0,2,1,0,0.25,0.0,64.0,0.0,16553.0,0,0,0,benign
172.30.0.11,172.30.0.200,8080,64477,6,2.6e-05,2,112,76959.7064,4309743.5596,56.0,2.0,54,58,2.6e-05,0.0,2.6e-05,2.6e-05,1,1,1,0,0,0,0.5,0.5,58.5,5.5,512.0,0,0,1,port_scan
172.30.0.11,172.30.0.200,21,64477,6,7e-06,2,112,289262.3448,16198691.3103,56.0,2.0,54,58,7e-06,0.0,7e-06,7e-06,1,1,1,0,0,0,0.5,0.5,57.5,6.5,512.0,0,0,1,port_scan
172.30.0.11,172.30.0.200,25,64477,6,4e-06,2,112,493447.5294,27633061.6471,56.0,2.0,54,58,4e-06,0.0,4e-06,4e-06,1,1,1,0,0,0,0.5,0.5,61.0,3.0,512.0,0,0,1,port_scan
172.30.0.11,172.30.0.200,23,64477,6,5e-06,2,112,399457.5238,22369621.3333,56.0,2.0,54,58,5e-06,0.0,5e-06,5e-06,1,1,1,0,0,0,0.5,0.5,58.5,5.5,512.0,0,0,1,port_scan
172.30.0.11,172.30.0.200,443,64477,6,4e-06,2,112,524288.0,29360128.0,56.0,2.0,54,58,4e-06,0.0,4e-06,4e-06,1,1,1,0,0,0,0.5,0.5,57.5,6.5,512.0,0,0,1,port_scan
172.30.0.11,172.30.0.200,445,64477,6,5e-06,2,112,399457.5238,22369621.3333,56.0,2.0,54,58,5e-06,0.0,5e-06,5e-06,1,1,1,0,0,0,0.5,0.5,51.5,12.5,512.0,0,0,1,port_scan
172.30.0.11,172.30.0.200,22,64477,6,2e-05,3,170,149796.5714,8488472.381,56.6667,1.8856,54,58,1e-05,2e-06,8e-06,1.2e-05,2,1,1,0,0,0,0.6667,0.3333,56.0,11.31,21754.67,0,0,1,port_scan
172.30.0.11,172.30.0.200,53,64477,6,5e-06,2,112,399457.5238,22369621.3333,56.0,2.0,54,58,5e-06,0.0,5e-06,5e-06,1,1,1,0,0,0,0.5,0.5,60.5,3.5,512.0,0,0,1,port_scan
